历史性能_NB覆盖等级-sjl_20190222094808,,,,,,,,,,,,,,,
测量类型:,[NB-IoT]覆盖等级 ,,,,,,,,,,,,,,
查询时间:,2019-02-21 00:00:00 - 2019-02-22 00:00:00,,,,,,,,,,,,,,
制表人:,xironghai,,,,,,,,,,,,,,
制表时间:,2019/2/22 9:48,,,,,,,,,,,,,,
序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,eNodeB,eNodeB名称,小区,小区名称,覆盖等级,请求,成功,用户数
45,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222864,本溪本溪县碱厂民主村222864FDD-ZLH(222864),222864,本溪本溪县碱厂民主村222864FDD-ZLH(222864),7,本溪本溪县碱厂民主村222864FDDN-ZLH-1(7),0,0,0,0
46,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222864,本溪本溪县碱厂民主村222864FDD-ZLH(222864),222864,本溪本溪县碱厂民主村222864FDD-ZLH(222864),9,本溪本溪县碱厂民主村222864FDDN-ZLH-3(9),0,0,0,0
47,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222864,本溪本溪县碱厂民主村222864FDD-ZLH(222864),222864,本溪本溪县碱厂民主村222864FDD-ZLH(222864),8,本溪本溪县碱厂民主村222864FDDN-ZLH-2(8),0,0,0,0
48,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222867,本溪本溪县田师傅镇电业局222867FDD-ZLH(222867),222867,本溪本溪县田师傅镇电业局222867FDD-ZLH(222867),7,本溪本溪县田师傅镇电业局222867FDDN-ZLH-1(7),0,0,0,0
49,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222867,本溪本溪县田师傅镇电业局222867FDD-ZLH(222867),222867,本溪本溪县田师傅镇电业局222867FDD-ZLH(222867),9,本溪本溪县田师傅镇电业局222867FDDN-ZLH-3(9),0,0,0,0
50,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),222867,本溪本溪县田师傅镇电业局222867FDD-ZLH(222867),222867,本溪本溪县田师傅镇电业局222867FDD-ZLH(222867),8,本溪本溪县田师傅镇电业局222867FDDN-ZLH-2(8),0,0,0,0
51,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),72,本溪明山区唐家219338FDDN-ZLH-2(72),2,0,0,0
52,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),72,本溪明山区唐家219338FDDN-ZLH-2(72),1,0,0,0
53,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),72,本溪明山区唐家219338FDDN-ZLH-2(72),0,0,0,0
54,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219338,本溪明山区唐家219338FDD-ZLH(219338),219338,本溪明山区唐家219338FDD-ZLH(219338),71,本溪明山区唐家219338FDDN-ZLH-1(71),2,0,0,0
